,fea_customer_id
627,13069802
628,20315123
629,15107443
630,18893295
631,19811349
632,17363848
633,19922242
634,15759222
635,16060748
636,14180359
637,10080508
638,20368331
639,20036074
640,13335010
641,17273491
642,19758144
643,16200933
644,20347788
645,19907589
646,20277376
647,19556729
648,15341678
649,20327662
650,12388321
651,18595828
652,20301218
653,17053848
654,20302009
655,20316634
656,19955978
657,16677474
658,12195965
659,12078763
660,19644971
661,9126339
662,10526670
663,8112596
664,17819875
665,20283338
666,20302396
667,13183892
668,12519477
669,14601086
670,20214518
671,19778461
672,20275303
673,20252647
674,20328651
675,19353239
676,13862180
677,9068669
678,17455897
679,20338734
680,19470458
681,14164428
682,16174470
683,16348499
684,20290084
685,16170482
687,12101053
688,19441202
689,10648344
690,20126766
691,12189402
692,15762259
693,19473228
694,14596367
695,20134951
696,20241929
698,20329493
699,20293679
700,8483190
701,11955005
702,18424395
703,6529546
704,12443700
705,20296167
706,15546655
707,19985620
708,18039552
710,18397879
711,19087001
712,18025162
713,19245556
714,19929196
715,1947040
716,11128863
717,10290316
718,6883369
719,19243941
720,8291646
721,10746873
722,19502196
723,17224770
724,20113279
725,19347163
726,18995630
727,16211614
728,300217
729,7272559
730,20223105
731,14372402
732,16451213
733,17562870
734,8938524
735,19554956
737,13020497
738,19201165
739,20246931
740,20235050
741,5573138
742,12290677
744,19922979
745,20105927
746,7503757
748,20236963
749,20119287
750,17702794
751,14774089
752,20212857
753,9962021
754,14160211
755,18681429
756,16465922
757,10700876
758,19256376
759,9727822
760,19897852
761,14981984
762,9808332
763,11119728
764,18755426
765,19640388
766,20136252
767,15239931
768,11569360
769,19033221
770,19840207
771,11231987
772,8417833
773,16905321
774,20035113
775,20114545
776,20163189
777,20107670
778,19850639
779,20139080
780,17726999
781,20058125
782,17005773
783,9098232
784,18247276
785,19946922
786,15963954
787,20149564
788,11489958
789,17678530
790,18512254
791,19986506
792,18819070
793,18995305
794,20003117
795,20046420
796,20035955
797,13414402
798,15576992
799,6169774
800,16349032
801,9955527
802,17647508
803,19784285
804,19797507
805,19357015
806,18808964
807,8731092
808,10126003
809,19683162
810,16452534
811,19494000
812,19092685
813,8691167
814,8551659
815,20010894
816,20038243
817,19984401
818,18147972
819,19397638
821,20034813
822,11985786
823,12048159
824,12326261
825,19662364
826,19219010
827,16019707
828,20035587
829,16600118
831,19986244
832,17956097
833,17480779
835,19668649
836,17713411
837,14773582
838,20008526
839,6152757
840,8052199
841,19152036
842,19624276
843,17600955
844,9697811
845,19308261
846,14886642
847,18832318
848,8491141
849,11927905
850,17846786
851,18237397
852,16881685
853,16106757
854,19932371
855,19875795
856,19406985
857,19821015
858,11130232
859,1621501
860,19882147
861,19641224
862,19830534
863,19925113
864,19944544
865,19967147
866,19754061
867,19923582
868,9749207
869,19156053
870,12759492
871,373165
872,15122182
873,15437900
874,11139261
875,14766104
876,17801263
877,7072846
878,14304653
879,15614237
880,19675667
881,16213202
882,7977439
883,14001172
884,16543960
885,18495256
886,19107262
887,19879685
888,19835282
889,11000133
890,16070482
891,19773745
892,19697589
894,10384262
895,10367500
896,15784217
897,12650539
898,19898533
899,19801517
900,14408108
901,16508769
902,19847603
903,14581587
904,10179658
905,12813218
906,19645053
907,6203459
908,8616091
909,17261482
910,10546709
911,19858339
912,19771013
913,17538067
914,14990607
915,14451734
916,19428942
917,19850258
918,12479631
919,18442487
920,10997123
921,12947727
922,13124519
923,15699235
924,12394317
925,18426869
926,17421544
927,8105895
928,18317651
929,17347421
930,16782469
931,12229472
932,17212649
933,19283237
934,19006228
935,19575663
936,19734998
937,18207877
938,18922842
939,17379186
940,19265422
941,19774690
942,17538066
943,17624973
944,19768768
945,19615957
946,15802717
947,19796717
948,11697061
949,16979014
950,16961952
951,17228979
952,19798812
953,6045289
954,10863568
955,7368761
956,19679669
957,19797819
958,18272753
959,18194983
960,16024243
961,16779281
962,18569229
963,15466706
965,19355931
966,609498
967,18485332
968,19755982
969,15376194
970,19694892
971,10099553
972,1154344
973,19740992
974,8305822
975,19192717
977,19250059
978,15209483
979,7869733
980,17709245
981,12383793
982,17794416
983,1895800
984,15899196
985,18320167
986,12304487
987,18901615
988,19665123
989,15297870
990,19216390
991,19676322
992,12528318
993,9129085
995,9754737
996,17791286
998,19504393
999,12600694
1001,16855162
1002,14900559
1003,18950076
1004,1672945
1005,13136510
1006,19393897
1007,19358093
1008,6756179
1009,19112677
1010,17741403
1011,17738246
1012,19486501
1013,19607311
1014,8209659
1016,19604435
1017,312636
1018,19667115
1019,212081
1020,19600021
1021,19196407
1022,18564719
1023,1956698
1024,19526519
1025,15064330
1026,15954877
1027,19330398
1028,1223893
1029,17651517
1030,19277504
1031,18467351
1032,17159597
1033,18170486
1034,19608081
1035,19636201
1036,19383592
1037,19567949
1038,15152944
1039,18658896
1040,18895415
1041,16621684
1042,19582169
1043,19244524
1044,14943701
1045,9154299
1046,18631712
1047,19205117
1048,19426970
1049,18699302
1050,16828552
1051,19501067
